Episode,Date,Guests,Topics,Polls,Stream,ILoF on YT
145,18-Aug-2020,Jill Filipovic,,,,
144,17-Aug-2020,Jameel Jaffer,"effects of pandemic on government function, free speech, assembly",,https://www.youtube.com/watch?v=ADfzmr5JEk4,
143,16-Aug-2020,Carrie Goldberg,"abuse on the internet, sextortion, revenge porn",cute distractions,https://www.youtube.com/watch?v=YCE1VteWyC0,
142,15-Aug-2020,(none),,(too many to list),https://www.youtube.com/watch?v=skQkiQIthwA,
141,14-Aug-2020,Natalie Jackson,"election modeling redux, polling",do you trust/believe election models?,https://www.youtube.com/watch?v=jhlkNsXoZW4,
140,13-Aug-2020,Richard R. John,post office history,favourite thing about USPS,https://www.youtube.com/watch?v=KBR1Ou7Wf1g,
139,12-Aug-2020,G. Elliott Morris,election modeling,whose model is best?,https://www.youtube.com/watch?v=U1S3QO0np08,
138,11-Aug-2020,Josh Chafetz,the filibuster; ILoF logo poll,logo,https://www.youtube.com/watch?v=Esw2TN64jQg,
137,10-Aug-2020,Virginia Heffernan,"elections, journalism, otters",,https://www.youtube.com/watch?v=w4gsTEKlYkI,
136,9-Aug-2020,Julian Davis Mortenson,executive orders,,https://www.youtube.com/watch?v=Oq9qM1gngtw,
135,8-Aug-2020,(none),,,https://www.youtube.com/watch?v=O2Y6hOeFwIE,
134,7-Aug-2020,Janet Turk Wittes,"coronavirus, vaccines, human trials ",,https://www.youtube.com/watch?v=qzS31IHohvQ,
133,6-Aug-2020,Deepak Gupta,"PACER decision, accessibility of court records",,https://www.youtube.com/watch?v=gPk-OIxqFGA,
132,5-Aug-2020,Nate Persily,"election, voting",,https://www.youtube.com/watch?v=s_917Xl_5Qc,
131,4-Aug-2020,Dan Drezner,Trump Axios interview,,https://www.youtube.com/watch?v=WUGRwJ_RKqk,
130,3-Aug-2020,Kara Swisher,"tech, law, policy",,https://www.youtube.com/watch?v=Hhzs5_gP29o,
