name,twitter,website,episodes,notes
Danielle Citron,https://twitter.com/daniellecitron,,"0,4",
Anna Salvatore,https://twitter.com/hischoolscotus,,"1,104",
Maggie Feldman-Piltch,https://twitter.com/maggiecaroline,,"2,21",
Alex Stamos,https://twitter.com/alexstamos,,"2,11,68",
Mike Chase,https://twitter.com/CrimeADay,,"3,112,126",
Ken White,https://twitter.com/popehat,,"3,49",
Cory Doctorow,https://twitter.com/doctorow,,3,
Emily Herson,https://twitter.com/emilyherson,,3,
Orin Kerr,https://twitter.com/orinkerr,,"5,25",
Jon Turk,,http://www.jonturk.net/,6,
Jack Balkin,https://twitter.com/jackbalkin,,"7,63",
Jordan Ellenberg,https://twitter.com/JSEllenberg,,7,
Amanda Sloat,https://twitter.com/A_Sloat,,8,
Dan Drezner,https://twitter.com/dandrezner,,"10,21,131",
Scott Shapiro,https://twitter.com/scottjshapiro,,"10,25",
Nate Persily,https://twitter.com/persily,,"11,125,132",
Alan Rozenshtein,https://twitter.com/allenrozenshtein,,"12,45",
Virginia Heffernan,https://twitter.com/page88,,"13,67,137",
Mike Pesca,https://twitter.com/pescami,,"13,80",
Kori Schake,https://twitter.com/KoriSchake,,14,
Doug Bernstein,,,15,
Jonathan Rauch,https://twitter.com/jon_rauch,,"17,73,106",
Evelyn Douek,https://twitter.com/evelyndouek,,"18,41",
Sarah Roberts,https://twitter.com/ubiquity75,,19,
Jillian York,https://twitter.com/jilliancyork,,19,
Quinta Jurecic,https://twitter.com/qjurecic,,"20,63",
Hannah Neprash,https://twitter.com/hannahneprash,,"22,45",
Carrie Goldberg,https://twitter.com/cagoldberglaw,,"24,90,143",
"Yorrick ""YoRock"" Anderson",,https://www.tapology.com/fightcenter/fighters/201304-yorrick-anderson,24,
Lisa Page,https://twitter.com/natseclisa,,26,via puppet
Molly Jong Fast,https://twitter.com/MollyJongFast,,26,
Randy Barnett,https://twitter.com/RandyEBarnett,,27,
Kate Darling,https://twitter.com/grok_,,28,
